artist,title,album,year,lyrics
A Day to Remember,Degenerates,You’re Welcome,2019-08-20,"My friends are degenerates
But I'd never change them
Liars, cheats, and hypocrites
Not the type for savin'

Why do we tend to hurt one another?
Dividin' up all the books by the covers
Like it ain't hard enough simply bein' me
(Like it ain't hard enough simply bein' me)
Or could I sum you up just by what I see?

In reality, everyone's a lot more complicated

My friends are degenerates
But I'd never change them
Liars, cheats, and hypocrites
Not the type for savin'

Or so they say

I get that look more than I remember
Turnin' your nose up while we're at dinner
Like how can he afford somethin' that I want?
(Like how can he afford somethin' that I want?)
Sold all your empathy, tell me what it cost
(Sold all your empathy, tell me what it cost)

Character is who you are when no one's watchin'

My friends are degenerates
But I'd never change them
Liars, cheats, and hypocrites
Not the type for savin'

Or so they say

Like a moment of truth that you try to omit
Consequences retained for the judgement ya give
When you finally find you're the degenerate
It's gonna hit like a brick!

Like it ain't hard enough simply bein' me
Or could I sum you up just by what I see?

My friends are degenerates
But I'd never change them
Liars, cheats, and hypocrites
Not the type for savin'

Or so they say"
A Day to Remember,End Of Me,Common Courtesy,2013-10-08,"I took some time away
For understanding of what brought us here today
Oh, you'll be the end of me
I'm never happy like we were happy
I'm never sad like we were sad
Oh, you'll be the end of me

You know me all too well
And I can't suppress the memories
You're gone and I can tell
That I've lost more than you'll ever see
Don't say that it's not fair
That you're not the person you wanna be
Cause oh, you'll be the end of me

I know I wasn't perfect, but I kept trying
'til I forgot why I stayed
Oh, you'll be the end of me
Yeah, we lost all meaning, we lost the magic
So good luck to you on your way
Oh, you'll be the end of me

You know me all too well
And I can't suppress the memories
You're gone and I can tell
That I've lost more than you'll ever see
Don't say that it's not fair
That you're not the person you wanna be
Cause oh, you'll be the end of me

I get it, no, I get it
Gave more than I took back, oh well
I get it, no, I get it
Can't help those who don't wanna be helped

You know me all too well
And I can't suppress the memories
You're gone and I can tell
That I've lost more than you'll ever see
Don't say that it's not fair
That you're not the person you wanna be
Cause oh, you'll be the end of me

You'll be the end of me..."
A Day to Remember,Exposed,Bad Vibrations,2016-09-02,"I won’t accept your fear
Another stagnant year
I'm pro-American but anti-politician
They'll trade you a voice
For an illusion of choice
Truth hits like a god damn premonition

Inroads to the hangman's noose
We got a lot to lose
Is this where you wanna be?
Exhumed they're not through with you until you're left exposed
Is this who you wanna be?

Take what's been given or have none
The only claim of the workers in song
Get back in line you've all been warned
""We was beat when we was born""

Inroads to the hangman's noose
We got a lot to lose
Is this where you wanna be?
Exhumed they're not through with you until you're left exposed
Is this who you wanna be?

Is this who you wanna be?
Is this who you wanna be?
Is this who you wanna be?

Like a shark that's combing the surface
We got a taste for blood
Don't believe what the pacifist tells you
No war, no peace
Reign!

Don't believe what the pacifist tells you
No war, no peace"
A Day to Remember,Forgive and Forget,Bad Vibrations,2016-09-02,"I feel like a runaway, seeing the light of day
For the first time, I'm drawing the line
It's hard to care when you know it all
In slow motion, I watch you fall
Like you're blind, thoughts poison the mind
I always bend, when it comes to you
I think you'll change, but you never do
You never do, I enable you
Let me down, let me down like only you know how
Shut me out, shut me out, forgive and forget
Forgive and forget
Let me down, let me down, like only you know how
Shut me out, shut me out, forgive and forget
Forgive and forget
I wish that I could say this to your face
Something different, something brave
Wish I would, but I never could
I feel you slowly pulling me in
I try to help, but it's sink or swim
And you're a weight - there's comfort in pain
Let me down, let me down like only you know how
Shut me out, shut me out, forgive and forget
Forgive and forget
Let me down, let me down, like only you know how
Shut me out, shut me out, forgive and forget
Forgive and forget
You've drained all the love I had
All I had for you
Yeah you've drained all the love I had
All I had for you
All I had for you
Let me down, let me down like only you know how
Shut me out, shut me out, forgive and forget
Forgive and forget
Let me down, let me down, like only you know how
Shut me out, shut me out, forgive and forget
Forgive and forget"
A Day to Remember,Have Faith in Me,Homesick,2009-02-03,"Have faith in me
Cause there are things that I've seen I don't believe
So cling to what you know and never let go
You should know things aren't always what they seem

I said I'd never let you go, and I never did
I said I'd never let you fall and I always meant it
If you didn't have this chance then I never did
You'll always find me right there, again

I'm going crazy
Cause there are things in the streets I don't believe
So we'll pretend it's alright (pretend it's alright)
And stay in for the night
Oh what a world
I'll keep you safe here with me (with me)

I said I'd never let you go, and I never did
I said I'd never let you fall and I always meant it
If you didn't have this chance then I never did
You'll always find me right there, again
I said I'd never let you go, and I never did
I said I'd never let you fall and I always meant it
If you didn't have this chance then I never did
You'll always find me right there, again

They've got me on the outside looking in
But I can't see at all
With the weight of the world on my shoulders
They just wanna see me fall
They've got me on the outside looking in
But I can't see at all
With the weight of the world on my shoulders
They just wanna see me fall

Have faith in me

I said I'd never let you go, and I never did
I said I'd never let you fall and I always meant it
If you didn't have this chance then I never did
You'll always find me right there, again

I said I'd never let you go (go), and I never did (did)
I said I'd never let you fall (fall) and I always meant it (meant it)
If you didn't have this chance then I never did
You'll always find me right there, again

I said I'd never let you go, and I never did
I said I'd never let you go, and I never did
I said I'd never let you go, and I never did
I said I'd never let you go, and I never did"
A Day to Remember,Heartless,And Their Name Was Treason,2005-01-22,"For once my eyes are open to you, and everything you've said
For once your web of lies is in the open
I gave you everything I had, until I had nothing left
Still you act as if I'm just a burden
I've finally let go. Let go, let go

Stay silent at least for now, and let me move on
Cause I'm so done playing these games with my heart
I've been around the world and back for you, and now it's time to choose

I've been swallowed by this wreck that you call your life
I'm damaged from the inside. I've been broken
Don't threaten me with what you think I feel
If you could read my mind you'd be in tears

I'm sick of your excuses you hold above me
I've finally come to terms with what I am
I'm nothing in your eyes, and this will not change
I'm living in a dream

Stay silent at least for now, and let me move on
Cause I'm so done playing these games with my heart
I've been around the world and back for you, and now it's time to choose

And I'll close my eyes, and dream of a better time
When I'll be finally past this and I'll be happy on my own
I've done all I can, and I've still been cast aside
All I ever wanted to be was be the one who would wipe tears from your eyes
But I guess I'll play second best, to a world that will never care about you
You'll never understand you're just another pretty face
You'll tell me that you care, and then run straight back to him
I can hear your voice of treason from a mile away

You never did know how to whisper

You're such a liar. Tell me the truth
You're such a liar. Tell me the truth
You're such a liar. Tell me the truth
Do the world a favor, stop cutting your arms, and slit your throat"
A Day to Remember,Homesick,Homesick,2009-02-03,"Everything around me seems so much different than where I'm from
And at this rate I think my fate's been sealed
This life's so unpredictable
We'll go continue to live a life that no one knows
Where's this gonna go?

Right here, right now
This is the beginning of the end
And I won't sing one single thing until we can get this right
I'm moving on
I'm moving on

Hey mom, I wrote you some soft songs
And tell dad I'm just fine
We had to choose
We made our moves
And now we got to go, go

Everything about me seemed so much different when I was young
I couldn't wait to take my place
Five years have passed
Good god have I been gone?
So why, I've never felt so alone in my whole life
Time's not on my side

Right here, right now
This is the beginning of the end
And I won't sing one single thing until we can get this right
I'm moving on
I'm moving on

Hey mom, I wrote you some soft songs
And tell dad I'm just fine
We had to choose
We made our moves
And now we got to go

And why's this make me so nervous?
Why does everything go wrong?
Why's this make me so nervous?
Why does everything go wrong?

I'm holding on to a fairy tale
We're moving forward but we're not there yet
I'm holding on to a fairy tale
We're moving forward
We're moving forward
I'm holding on to a fairy tale
We're moving forward but we're not there yet
I'm holding on to a fairy tale
We're moving forward
We're moving forward

Hey mom, I wrote you some soft songs
And tell dad I'm just fine
We had to choose
We made our moves
And now we got to go

And why's this make me so nervous?
(You make me so, you make me so)
Why does everything go wrong?
Why's this make me so nervous?
(You make me so, you make me so)
Why does everything go wrong?"
A Day to Remember,If It Means a Lot to You,Homesick,2009-02-03,"And hey darling
I hope you're good tonight
And I know you don't feel right when I'm leaving
Yeah I want it but no I don't need it
Tell me something sweet to get me by
Cause I can't come back home till they're singing

La, la la la la la la
'Til everyone is singing

If you can wait till I get home
Then I swear to you
That we can make this last
If you can wait till I get home
Then I swear come tomorrow
This will all be in our past
Well it might be for the best

And hey sweetie
Well I need you here tonight
And I know that you don't want to be leaving me
Yeah you want it but I can't help it
I just feel complete when you're by my side
But I know you can't come home 'til they're singing

La, la la la la la la
'Til everyone is singing
La, la la la la la la

If you can wait till I get home
Then I swear to you
That we can make this last
If you can wait till I get home
Then I swear come tomorrow
This will all be in our past
Well it might be for the best

You know you can't give me what I need
And even though you mean so much to me
I can't wait through everything
Is this really happening?
I swear I'll never be happy again
And don't you dare say we can just be friends
I'm not some boy that you can sway
We knew it'd happen eventually

La, la la la la la la
Now everybody's singing
La, la la la la la la
Now everybody's singing
La, la la la la la la
(If you can wait till I get home)
Now everybody's singing
La, la la la la la la
(Then I swear we can make this last)
Now everybody's singing
La, la la la la la la (If you can wait till i get home)
Now everybody's singing La, la la la la la la
(Then I swear we can make this last)
Now everybody's singing, La"
A Day to Remember,I’m Already Gone,Common Courtesy,2013-10-08,"As I look 'round this makeshift moving house
I'm searching for whatever's left of me
It's on the ground in a box that reads ""lost and found""
It's lost and found

She said: ""Just let it go""
She said: ""It's all you've ever known""
I'm already gone
I'm already somethin' to someone
That I don't know
When will I know?
And I'm, I'm out makin' rounds
On every side of town
That I've been through, that I know
To find my reason to come back home

I've worked it out, you'll always bring me down
From here on out, I'm doing things for me
Impatient now, I'm not the type for life alone
I need someone

She said: ""Just let it go""
She said: ""It's all you've ever known""
And I'm, I'm already gone
I'm already somethin' to someone
That I don't know
When will I know?
And I'm, I'm out makin' rounds
On every side of town
That I've been through, that I know
To find my reason to come back home

With everything that sets me back
I push back harder to clear the way
There's not a thing that I regret
Can't live my life in yesterday
With everything that sets me back
I push back harder to clear the way
There's not a thing that I regret
Can't live my life in yesterday
(Life in yesterday)

I'm already gone
I'm already somethin' to someone
That I don't know
When will I know?
And I'm, I'm out makin' rounds
On every side of town
That I've been through, that I know
To find my reason to come back home"
A Day to Remember,"I’m Made of Wax Larry, What Are You Made Of?",Homesick,2009-02-03,"Don't blink they won't even miss you at all
And don't think that I'll always be gone
You know I've got you like a puppet in the palm of my hand
Don't you let me down!

So run like hell
Sleep with one eye open
I can't forgive or forget you
We'll tell everyone the damage done
Deep down you can't stop me
You can't stop me now

I'll be there just to watch you fall
So don't push me, I've got nothing to lose

Don't blink they won't even miss you at all
And don't think that I'll always be gone
You know I've got you like a puppet in the palm of my hand
Don't you let me down!

Here I go again
I made it so damn hard to come back from the mess that you're in
I need you to know, I told you so
You're a snake and I'm cautious
Just use your head

I'll be there just to watch you fall
So don't push me, I've got nothing to lose

Don't blink they won't even miss you at all
And don't think that I'll always be gone
You know I've got you like a puppet in the palm of my hand
Don't you let me down!
Don't blink they won't even miss you at all
And don't think that I'll always be gone
You know I've got you like a puppet in the palm of my hand
Don't you let me down!

Come on
Ooooooohhhhhh!
(Cough Cough)

Everybody's out to get me (any moment could be my last)
This is me (you can take it or leave)
Right or wrong
I will stand on my own two feet
Just breathe
Just breathe

Don't blink they won't even miss you at all
And don't think that I'll always be gone
You know I've got you like a puppet in the palm of my hand
Don't you let me down!
Don't blink they won't even miss you at all
And don't think that I'll always be gone
You know I've got you like a puppet in the palm of my hand
Don't you let me down!

Oh!"
A Day to Remember,In Florida,Bad Vibrations,2016-09-02,"December ain't cold at all this year in Florida
But I'm still chilled to the bone
The mind plays tricks this time of year in Florida
It's not the time to be alone

I feel the less you love the less you feel alive
I feel to understand it starts from the inside
And I feel that patience is a lesson learned in time
To be good with your own life's to be good with mine

Time stands still this time of year in Florida
The only time I feel at home
The neighborhood kids run down the road in Florida
It's got me scared I missed the boat

I feel the less you love the less you feel alive
I feel to understand it starts from the inside
And I feel that patience is a lesson learned in time
To be good with your own life's to be good with mine
To be good with your own life's to be good with mine

I always knew that I would leave
But I didn't think it'd change a part of me
Can't get back to who I was back then (who I was back then)
Feels wrong to shut that out
Seems wrong to pretend
To pretend

I feel the less you love the less you feel alive
I feel to understand it starts from the inside
And I feel that patience is a lesson learned in time
To be good with your own life's to be good with mine
To be good with your own life's to be good with mine"
A Day to Remember,I Remember,Common Courtesy,2013-10-08,"I'd never wish any of this on anyone or anything
Aw come on, you gotta try and look at things like me
I never needed anything I got
I never keep anything I have, what do I have?
Mostly things that'll never last
Then I think back...

I remember when I first saw the country
I remember sleeping in the van
Said goodbye to friends and family cause they could never understand
I remember jumping off of cliff tops
I remember playing with no one there
Yeah I knew if I became successful it wouldn't change who I am cause where I've been
Cause where I've been

They wonder why I hide myself from everyone
From everything, man come on
You wouldn't last a day as me
Everyone loves me for my past, but they always hate me in the present
Why can't you just meet me somewhere in the middle?
It's in the hardest times we grow the most

I remember when I first saw the country
I remember sleeping in the van
Said goodbye to friends and family cause they could never understand
I remember jumping off of cliff tops
I remember playing with no one there
Yeah I knew if I became successful it wouldn't change who I am cause where I've been
Cause where I've been

Speeding up, to slow down
Side glances around this crowd all at me
There must be something I can't see, so tell me
Hold me up, help me out
As I circle around what makes me happy
There isn't one place that I can be without leaving
This is my life

I remember when I first saw the country
I remember sleeping in the van
Said goodbye to friends and family, cause they could never understand
They don't understand
They don't understand

I remember jumping off of cliff tops
I remember playing with no one there
Yeah I knew if I became successful it wouldn't change who I am
I remember the coast of California
I remember trucks stops cross the land
Never kept too many idols cause we were busy being them
I remember waking up in Georgia. I remember quitting my last job
Yeah I knew if I became successful it wouldn't change who I was, where I've been
Cause where I've been"
A Day to Remember,It’s Complicated,What Separates Me From You,2010-11-15,"Here we go again, another night of being bummed
I'll keep to myself, avoid the sun
Cancel plans with everyone
I know cause it's just how it always ends
Our bond will break cause you can't relate
To anyone, to anything at all

You brought your worst and I'm right here
No I've seen it all, and it's never been so clear

You're not the person that I knew back then
It's all too late to set things right cause everything has been
You're not the person that I knew back then
Let's try and act like this didn't happen
Follow your friends like you ever had them

You still know me, still not cut out for this sort of thing
Never want to be, caught in between
I need constant reminders of everything
(So what!) It's who I am, I played it off so well
I just hold it in, no matter how I've been
So nobody, nobody can tell

You brought your worst and I'm right here
No I've seen it all, and it's never been so clear

You're not the person that I knew back then
It's all too late to set things right cause everything has been
You're not the person that I knew back then
Let's try and act like this didn't happen
Follow your friends like you ever had them

I won't sleep till the break of dawn
(Break of dawn!)
Can't let our problems find me here so everybody come on!

You brought your worst and I'm right here
No ones seen it all, and it's never been so clear

You're not the person that I knew back then
It's all too late to set things right cause everything has been
You're not the person that I knew back then
Let's try and act like this didn't happen
Follow your friends like you ever had them
You're not the person that I knew back then
It's all too late to set things right cause everything has been
You're not the person that I knew back then
Let's try and act like this didn't happen
Follow your friends like you ever had them"
