artist,title,album,date,lyrics
Lagwagon,Stokin' The Neighbors,Trashed,02/04/1994,"Friday night's a perfect night to mow some neighbor's lawn
And i'm drunk and at the helm before too long
And chris will gladly ride shotgun
'cause navigating seems like fun
Drunk and out of gas, we drive around and crash
Drivin' through the yard
There's nothin' u can do
Dave's behind the wheel and he's had more than just a few
Suburban families slumber in civility
Awakened to the sights and sounds of the yard they're blowin' down
In their death machine
Drive, drive, drive, drive, drive, drive
Dave's a midnight landscaper and he's workin over-time
And he is full throttle-- full throttle tonight
--ARIGHT!!--
He was almost home, just one more block
He had to hit that last mailbox
Dumped it in a ditch-- ain't that a bitch?
STOKIN' THE NEIGHBORS!
Dave had to run, dave had to bail
He was havin' too much fun to spend the night in jail
Had no triple A for a tow truck
Called 'em anyway only to hear them say
""hey pal, you're fucked""
""hey man, what're ya doin?""
""i'm goin for another drive, you wanna go chris?""
""ya bro, lemme grab a couple beers!""
""shouldn't be drivin like that, dave""
Dave's a decent guy like most of us until he drinks
Then his liquid mind takes over how he thinks
And then all that matters is havin' fun
Pulling off the next beer run
On one too many nights, the party's over
Drivin' through the yard
There's nothin' u can do
Dave's behind the wheel and he's had more than just a few
Suburban families slumber in civility
Awakened to aftermath, the neighbors have been stoked
""the story you have just heard is true. the names have not been
Changed to protect the guilty, however, lagwagon does not condone
Drinking and driving, they just find this particularly humerous."""
Jawbreaker,Ache,24 Hour Revenge Therapy,02/07/1994,"I believe in desperate acts
The kind that make you look stupid
(Look like a fool)
Just keep reinventing myself
It's move or die
(I change my form)
These days, the people I love are spread so far apart
(All out of reach)
It's a thin sheet across the face
(Cover me now)

That's pretty old
That's pretty old
""I never felt like this before.""
I say that every hour
""I never felt like this before.""
I say that every hour

It's never going to be like it could have been
Now it's just this room
(Window looks back)
You're a big part of it but I don't care
(You take the lead)
And can you really see me now like I made me?
(Made me anew)
Just like anyone at all
(Safer alone)

That's pretty old
That's pretty old
""I never felt like this before.""
I say that every hour
""I never felt like this before.""
I say that every hour

So right, so wrong
Another winter's coming on
You win, you lose
It's the same old news
(Some things go wrong so often)
Pick up the phone and punch your code
Somewhere, sometime, let me make you mine

Lean your head on mine like you used to
(Used to your lean)
I don't mind if you're faking it
(Make it seem real)
I'm not asking the questions
I'm not demanding the answers now
(Take what you give)
Right or wrong, just take me, lead me on
I'm going
(I'm giving up)
I'm going

So right, so wrong
Another winter's coming on
You win, you lose
It's the same old news
(These things go wrong so often)
Pick up the phone and punch your code
Somewhere, sometime, let me make you mine"
Jawbreaker,Ashtray Monument,24 Hour Revenge Therapy,02/07/1994,"Free, alone
The predawn white light's coming on
Botte on the nightstand
I count disasters on my free hand now
Run for cover there's a big one coming
You'll be lucky if you're at ground zero
No one said that this life was easy
Did that no one ever live a life this hard?
It gets hard, the bills are scattered in the yard
Ashtray monument
A life spent waiting in cement comes down
After all, it's not that bad
I still have pictures, I look back
At all the things that we once did
You said ""I love you"" I guess you did
Remember our life?
I did the dishes while you read out loud
Best friends, strangers now
Were our kids all we could call common ground?"
Jawbreaker,Boxcar,24 Hour Revenge Therapy,02/07/1994,"""You're not punk and I'm telling everyone.""
Save your breath, I never was one
You don't know what I'm all about
Like killing cops and reading Kerouac

My enemies are all too familiar
They're the ones who used to call me friend
I'm coloring outside your guidelines
I was passing out when you were passing out your rules
One, two, three, four
Who's punk? What's the score?

Got a friend, her name is Boxcar
Cigarettes and beer in El Sob
Her hair was blue, now it's green
I like her mind, she hates the scene

My enemies are all too familiar
They're the ones who used to call me friend
I'm coloring outside your guidelines
I was passing out when you were passing out your rules
One, two, three, four
Who's punk? What's the score?

You're on your own
You're all alone
You're on your own
You're all alone
You're on your own
You're all alone
You're on your own
You're all alone"
Jawbreaker,Condition Oakland,24 Hour Revenge Therapy,02/07/1994,"I rode down to the tracks
Thinking they might sing to me
But they just stared back
Broken, trainless, and black as night
Climbed out on to my roof
So I'd be a poet in the night
Beat the walls off my room
I saw the big room that is this life

This is my condition:
Naked and hysterical
Reaching to grab a hand that I just slapped back at
This is my condition:
Desperate, alone, without an excuse
I try to explain
Christ, what's the use?

Read and I felt so small
Some words keep speaking when you close the book
Drank and just about smiled
Then I remembered us in that bed
Put my ear to the door
I just heard hot rods and gunshots and sirens
People kill me these days
There's keys in their eyes but they locked from the inside

This is my condition:
Naked and hysterical
Reaching to grab a hand that I just slapped back at
This is my condition:
Desperate, alone, without an excuse
I try to explain
Christ, what's the use?

""...and everything is pouring in, the switching moves of
Boxcars in that little alley which is so much like the alleys of
Lowell and I hear far off in the sense of coming night that engine
Calling our mountains. But it was that beautiful cut of clouds I could always see above the little S.P. alley, puffs floating by from Oakland or the Gate of Marin to the north or San Jose south, the clarity of Cal to break your heart. It was the fantastic drowse and drum hum of lum
Mum afternoon nathin' to do, ole Frisco...""
""...the street is loaded with darkness. Blue sky above with stars hanging high over old hotel roofs and blowers of hotels moaning out dusts of interior, the grime inside the word in mouths falling out tooth
By tooth, the reading rooms tick tock bigclock with creak
Chair and slantboards and old faces looking up over rimless
Spectacles bought in some West Virginia or Florida or Liverpool
England pawnshop long before I was born and across
Rains they've come to the end of the land sadness end of the
World gladness all you San Franciscos will have to fall eventually
And burn again. But I'm walking and one night..."""
Jawbreaker,Do You Still Hate Me?,24 Hour Revenge Therapy,02/07/1994,"Been hearing about you
All about your disapproval
Still I remember the way I used to move you
I wrote you a letter
I heard it just upset you
Why don't you tell me?
How can I do this better?

Are you out there?
Do you hear me?
Can I call you?
Do you still hate me?
Are we talking?
Are we fighting?
Is it over?
Are we writing?

We're getting older but we're acting younger
We should be smarter
It seems we're getting dumber
I have a picture of you and me in Brooklyn
On a porch, it was raining
Hey, I remember that day

Are you out there?
Do you hear me?
Can I call you?
Do you still hate me?
Are we talking?
Are we fighting?
Is it over?
Are we writing?
And I miss you"
Jawbreaker,Indictment,24 Hour Revenge Therapy,02/07/1994,"I just wrote the dumbest song
It's gonna be a sing along
All our friends will clap and sing
Our enemies will laugh and be pointing

It won't bother me
What the thoughtless are thinking
I am more concerned with what we're drinking

They'll laugh about it at the warehouse
Saying I'm so lame
It wrote itself
You can keep the blame

It'll be a happy song
Not unlike some other ones
While everyone's depressed and broke
I get high off your sick jokes
(Ha ha ha)

They're colossal
They're tousling
All the worried hair
Stay up there

So crazy, it just might work
Then we'll quit our jobs
We could be the next group that you rob

There are times for being dumb
This must be one of them
I'd like to know what's so wrong with a stupid, happy song?

It says many things in its nothingness
It gives me space to think, I guess
To think less and less

Moving units and tracking charts
Will they ever learn?
It isn't who you know, it's who you burn

It means nothing
Selling kids to other kids
If you think we changed our tune, I hope we did"
Jawbreaker,In Sadding Around,24 Hour Revenge Therapy,02/07/1994,"Sleeping off the last five years takes another five
Recovery in lieu of being here right now
When I throw myself at your feet
You know it's to be walked on
We're breaking up every single night

If I had a choice don't you think I'd make it?
I lost my voice, I hope I didn't break it
Little demons by my bed whisper secrets
The kind you never hear

I dip my toe in this cold, cold life
I want to dive but I can't find your feet
You with a view so unlike my own
I'm trying on your eyes
So I let go, fall to the ground
It's a long way down again

Petty cons keep peeling back my ears
We make plans
Collaborate and give to you my better half
Until now just dead weight, a prisoner of doubt
In a cell, we kiss and tell all our keepsakes

I dip my toe in this cold, cold life
I want to dive but I can't find your feet
You with a view so unlike my own
I'm trying on your eyes
So I let go, fall to the ground
It's a long way down again

Sore, hit the floor
Got my first glimpse of the sky
The stars were on your side
Who would've thunk the thirteenth fell on Friday?
I say hello and it's goodbye again"
Jawbreaker,Jinx Removing,24 Hour Revenge Therapy,02/07/1994,"Talked out and now I'm feeling crowded
All the errands in the world won't save us now
Rained in and I won't come unclouded
There's a stillness in the air
I pray for sound

We're too smart to watch TV
We're too dumb to make believe
This is all we want from life
And I'm too dumb to talk to you
You're so quick to listen to me
I'm saying nothing you don't know
Nothing you don't know

Walked out and I won't be rerouted
If I don't go outside today, I never will
Too old not to get excited
About rain and roads, Egyptian ruins
Our first kiss

We're too smart to watch TV
We're too dumb to make believe
This is all we want from life
And I'm too dumb to talk to you
You're so quick to listen to me
I'm saying nothing you don't know

I love you more than I ever loved anyone before, or anyone to come
Someone said your name
I thought of you alone
I was just the same twenty blocks away

Blew twelve and kissed the thirteenth finger
""Rabbit, rabbit"" on the first
I hold my breath
Did tricks, I hoped you wouldn't notice
A superstitious hyperrealist
I'll make you mine

We're too smart to watch TV
We're too dumb to make believe
This is all we want from life
And I'm too dumb to talk to you
You're so quick to listen to me
I'm saying nothing you don't know

I love you more than I ever loved anyone before, or anyone to come
Someone said your name
I thought of you alone
I was just the same twenty blocks away"
Jawbreaker,Outpatient,24 Hour Revenge Therapy,02/07/1994,"A little voice that's not quite your own
""Count backwards from ten.""
Yellow jelly shot hard in vein
I want to talk to you again
""This is Jennings, your anesthetist.""
""We think we'll go in through the mouth.""
Watch the lights go from head to toe
Doped up and coasting down the hall

Now I'm talking through my pen
Do you read me?
Am I bleeding?
Am I bleeding again?
Now I'm talking through my pen
Do you read me?
Am I bleeding?
Suddenly hear so clearly again

Wake up screaming so far from home
Incontinent off continent
The tears are warm
The body's numb
""Get your coat, your ride is here.""

Now I'm talking through my pen
Do you read me?
Am I bleeding?
Suddenly hear so clearly again
Now I'm talking through my pen
Do you read me?
Am I bleeding?
Am I bleeding again?"
Jawbreaker,The Boat Dreams from the Hill,24 Hour Revenge Therapy,02/07/1994,"Boat on a hill, never going to sea
Anchored to a fixer upper's dream
This boat is beat, never gonna be a boat now
Thirsty, sees the sea from high on the ice plant

He keeps patching it and painting
Thinking about his pension plan
But the boat is out to pasture
Seems it never had a chance

I wanna be a boat
I wanna learn to swim
Then I'll learn to float
Then begin again
I wanna be a boat
I wanna learn to swim
Then I'll learn to float
Then begin again
Begin again

Boat remembers the carpenter's sure hand
Missing fishy flutter on its rudder
Sold at an auction, on a dolly ever since
Sometimes rainy days drop boyish wonder

He keeps patching it and painting
Thinking about his pension plan
But the boat is out to pasture
Seems it never had a chance

I wanna be a boat
I wanna learn to swim
Then I'll learn to float
Then begin again
I wanna be a boat
I wanna learn to swim
Then I'll learn to float
Then begin again
Begin again"
Jawbreaker,West Bay Invitational,24 Hour Revenge Therapy,02/07/1994,"All of the neighbors decided
It's time to have all our strangers over and make friends
Chris got a pony keg of loose charm
I had an accident
I hurt my arm

People from bands and labels
The good ones
Plenty of stunning children, East Bay
You were from Oakland by way of the Midwest
I bought a rose and a suit with the pants pegged

You said, ""I smelled you twice today.""
Someone was passing out somewhere
We kissed a shot of Kentucky straight
I swore this life is worth the wait

Hayes broke the scissors, apologized
Our kitchen was crowded and steamy
Isn't it always?

I just looked deeper into you
You bit my neck blue
We hung our clothes up on the floor
And put our faith in a closed door

We're having this party
Please come
It won't be the same without you
Please come"
The Offspring,Come Out and Play (Keep 'Em Separated),Smash,03/10/1994,"You gotta keep 'em separated

Like the latest fashion
Like a spreading disease
The kids are strappin' on their way to the classroom
Getting weapons with the greatest of ease
The gangs stake out their own campus locale
And if they catch you slippin', then it's all over, pal
If one guy's colors and the other's don't mix
They're gonna bash it up, bash it up, bash it up, bash it up...

Hey! Man, you talkin' back to me?
Take him out
You gotta keep 'em separated
Hey! Man, you disrespectin' me?
Take him out
You gotta keep 'em separated
Hey, they don't pay no mind
If you're under 18, you won't be doing any time
Hey! Come out and play

By the time you hear the siren
It's already too late
One goes to the morgue and the other to jail
One guy's wasted and the other's a waste
It goes down the same as the thousand before
No one's getting smarter
No one's learning the score
Your never ending spree of death and violence and hate
Is gonna tie your own rope, tie your own rope, tie your own...

Hey! Man, you disrespectin' me?
Take him out
You gotta keep 'em separated
Hey! Man, you talkin' back to me?
Take him out
You gotta keep 'em separated
Hey, they don't pay no mind
If you're under 18, you won't be doing any time
Hey! Come out and play

It goes down the same as the thousand before
No one's getting smarter
No one's learning the score
Your never ending spree of death and violence and hate
Is gonna tie your own rope, tie your own rope, tie your own...

Hey! Man, you talkin' back to me?
Take him out
You gotta keep 'em separated
Hey! Man, you disrespectin' me?
Take him out
You gotta keep 'em separated
Hey, they don't pay no mind
If you're under 18, you won't be doing any time
Hey! Come out and play"
The Offspring,Come Out And Play,Smash,04/08/1994,"You gotta keep 'em separated
Like the latest fashion
Like a spreading disease
The kids are strappin' on their way to the classroom
Getting weapons with the greatest of ease
The gangs stake their own campus locale
And if they catch you slippin' then it's all over pal
If one guy's colors and the others don't mix
They're gonna bash it up, bash it up, bash it up, bash it up
Hey, man you talkin' back to me?
Take him out
You gotta keep 'em separated
Hey, man you disrespecting me?
Take him out
You gotta keep 'em separated
Hey, they don't pay no mind
If you're under 18 you won't be doing any time
Hey, come out and play
By the time you hear the siren
It's already too late
One goes to the morgue and the other to jail
One guy wasted and the other's a waste
It goes down the same as the thousand before
No one's getting smarter, no one's learning the score
Your never ending spree of death and violence and hate
Is gonna tie your own rope, tie your own rope, tie your own
Hey, man you disrespecting me?
Take him out
You gotta keep 'em separated
Hey, man you talkin' back to me?
Take him out
You gotta keep 'em separated
Hey, they don't pay no mind
If you're under 18 you won't be doing any time
Hey, come out and play
It goes down the same as the thousand before
No one's getting smarter, no one's learning the score
Your never ending spree of death and violence and hate
Is gonna tie your own rope, tie your own rope, tie your own
Hey, man you talkin' back to me?
Take him out
You gotta keep 'em separated
Hey, man you disrespecting me?
Take him out
You gotta keep 'em separated
Hey, they don't pay no mind
If you're under 18 you won't be doing any time
Hey, come out and play"
The Offspring,Bad Habit,Smash,04/08/1994,"Hey, man, you know I'm really okay
The gun in my hand will tell you the same
But when I'm in my car, don't give me no crap
'Cause the slightest thing and I just might snap

When I go driving, I stay in my lane
But getting cut off, it makes me insane
I open the glove box, reach inside
I'm gonna wreck this fucker's ride

I guess I got a bad habit
Of blowin' away (Yeah, Yeah)
I got a bad habit (Yeah, Yeah)
And it ain't goin' away (Yeah, Yeah)
Yeah (Yeah, Yeah)
Yeah (Yeah, Yeah)

They say the road is a dangerous place
If you flip me off, I'll get in your face
If you drive on my ass, your foot's on the gas
And your next breath is your last

I guess I got a bad habit
Of blowin' away (Yeah, Yeah)
I got a bad habit (Yeah, Yeah)
And it ain't goin' away (Yeah, Yeah)
Yeah (Yeah, Yeah)
Yeah (Yeah, Yeah)

Drivers are rude
Such attitudes
But when I show my piece
Complaints cease
Something's odd
I feel like I'm God
You stupid dumbshit goddam motherfucker!

I open the glove box
Reach inside
I'm gonna wreck this fucker's ride

I guess I got a bad habit
Of blowin' away (Yeah, Yeah)
I got a bad habit (Yeah, Yeah)
And it ain't goin' away (Yeah, Yeah)
Yeah (Yeah, Yeah)
Yeah (Yeah, Yeah)

Yeah (Yeah, Yeah)
Yeah, oh"
The Offspring,Genocide,Smash,04/08/1994,"Our lives run different ways
Through the rain I
See you in the sun
Our star shines anyway
If you wish upon it, we are one
(One, two, three, four)

Dog eat Dog
Every day
On our fellow man we prey
Dog eat Dog
To get by
Hope you like my genocide

I find it such a shame
Through the pain I see things as they are
We're served up on a plate
Pedestal is high enough to fall
And if in time
We can see the errors of our ways
Would anyone change it anyhow
Our time is up
(One, two, three, four)
 

I bet you'd only run
If you saw what goes inside
Our own
I bet you'd lead the way
If it were up to you decide
But it's not
 

Like a silver flame
Like a suicide
Like your giving more
(One, two, three, four)

Mmm, I especially enjoyed that one...
Let's see what's next"
The Offspring,Gotta Get Away,Smash,04/08/1994,"Getting edgy all the time
Someone around me just a step behind
It's kind of scary, the shape I'm in
Walls are shaking and they're closing in
Too fast or a bit too slow
Paranoid of people and it's starting to show
One guy that I can't shake
Over my shoulder is a big mistake

Sitting on the bed
Or lying wide awake
There's demons in my head
And it's more than I can take
I think I'm on a roll
But I think it's kind of weak
Saying all I know is
I gotta get away from me

I tell you, something just ain't right
My head is on loose but my shoes are tight
Avoiding my friends 'cause they all bug
Life is like a riddle and I'm really stumped
If you reason, don't you know
Your own preoccupation is where you'll go
Being followed, I look around
It's only my shadow creeping on the ground

Sitting on the bed
Or lying wide awake
There's demons in my head
And it's more than I can take
I think I'm on a roll
But I think it's kind of weak
Saying all I know is
I gotta get away from me
I gotta get away from me
I gotta get away from me

Sitting on the bed
Or lying wide awake
There's demons in my head
And it's more than I can take
I think I'm on a roll
But I think it's kind of weak
Saying all I know is
I gotta get away from me
I gotta get away from me
I gotta get away from me
I gotta get away from me..."
The Offspring,Nitro (Youth Energy),Smash,04/08/1994,"Our generation sees the world
Not the same as before
We might as well just throw it all
And live like there is no tomorrow

There's no tomorrow
There's no tomorrow

We are the ones who are living
Under the gun every day
You might be gone before you know
So live like there is no tomorrow

(Ain't gonna waste this life)
There's no tomorrow
(Ain't gonna live it for me)
There's no tomorrow
(Ain't gonna waste this life)
There's no tomorrow
(Ain't gonna live it for me)

Hey, believe it
The official view of the world has changed
(In a whole new way)
Live fast 'cause if you don't take it
You'll never make it

So if you understand me
And if you feel the same
Then you will know what nitro means
You'll live like there is no tomorrow

There's no tomorrow..."
The Offspring,Smash,Smash,04/08/1994,"Head over heels I've fit in before
Now I don't want to do it no more
I held it all in with blood on my face
Built it up, man, so bad you can taste
I don't slag no one, I don't even judge
Don't give me shit 'cause I'm not gonna budge
I just want to be who I want to be
Guess that's hard for others to see

I'm not a trendy asshole
I do what I want
I do what I feel like
I'm not a trendy asshole
I don't give a fuck
If it's good enough for you
'Cause I'm alive

Smash is the way you feel all alone
Like an outcast you're out on your own
Smash is the way you deal with your life
Like an outcast you're smashing your strife
Head over heels I've fit in before
Now I don't want to do it no more
I just want to be who I want to be
Guess that's hard for others to see

I'm not a trendy asshole
I do what I want
I do what I feel like
I'm not a trendy asshole
I don't give a fuck
If it's good enough for you
'Cause I'm alive

Head over heels I've fit in before
Now I don't want to do it no more
I just want to be who I want to be
Guess that's hard for others to see
 
I'm not a trendy asshole
I do what I want
I do what I feel like
I'm not a trendy asshole
I don't give a fuck
If it's good enough for you
'Cause I'm alive
I'm not a trendy asshole
I do what I want
I do what I feel like
I'm not a trendy asshole
I don't give a fuck
If it's good enough for you
'Cause I'm alive
I'm alive
I'm alive

There. I hope you enjoyed our time together today
You know, it seems harder and harder
To just sit back and enjoy the finer things in life
Well, till next time
Ta-ta!"
The Offspring,What Happened to You?,Smash,04/08/1994,"What in the world happened to you?

Before you started tokin', you used to have a brain
But now you don't get even the simplest of things
I can draw a little picture or even use my hands
I try to explain but you just don't understand

Man, you're really losin' it
And you've really done a lot of junk now
But you keep on abusin' it
What in the world happened to you?

It's bad enough you do it, you do it to yourself
But taking someone with you
Well, you know that's something else
I say I'm not that kind of person
I'm not that kind of man
I try to explain, but you just don't understand

Man, you're really losin' it
And you've really done a lot of junk now
But you keep on abusin' it
What in the world happened to you?

Man, you're really losin' it
And you've really done a lot of junk now
But you keep on abusin' it
What in the world happened to you?

I might be sympathetic or cut a little slack
If I thought that you were willing to give a little back
But you do it in the morning, you do it in the night
You lie to refrain from just facing your life
So I'll see you man tomorrow, you'll be gackin' up again
I'll see you in a coffin by the time your wad is spent
I think of all the times that I tried to lend a hand
I try to explain but you just don't understand

Man, you're really losin' it
And you've really done a lot of junk now
But you keep on abusin' it
What in the world happened to
What in the world happened to
What in the world happened to you?"
Rancid,Nihilism,Let's Go,06/21/1994,"Come into the union district
Drive down on Sharmon Palms
White ghettos paint a picture
Broken homes and broken bones
I was so full of scotch I could not stand up
I was hittin the shots and I moved to a cup
Release me from moral assumption
Total rejection, total destruction
Nihilistic feelings are moving
If you try really hard, you'll see right through them
Nihilism!
Nihilism!
Nihilism!
Nihilism!
Come into the union district
Drive down on Sharmon Palms
White ghettos paint a picture
Broken homes and broken bones
Walkin' a path of self destruction
Not affected by the repercussions
Lady on the billboard offer me a drink
Said not right now I need time to think
Nihilistic feelings are moving
If I try really hard, I'll see right through them
Nihilism!
Nihilism!
Nihilism!
Nihilism!
Nihilism!
Nihilism!
I was so full of scotch I could not stand up (Nihilism!)
I was hittin' the shots and I moved to a cup (Nihilism!)
We'll I've come into union district, an you drive down Sharmon Palms (Nihilism!)
White ghettos paint a picture, broken homes and broken bones (Nihilism!)
Yeah, broken bones!
Hey!
Hey!
Hey!
Hey!"
Rancid,Salvation,Let's Go,06/21/1994,"Come on baby won't you show me what you got
I want your salvation
Ooh-oh-oh
There's a neighborhood called Blackhawk
Where all the rich people hide
I was down on my luck, workin' for the Salvation Army
The shelter's where I reside
Every day we drive in to Blackhawk and we pick up the offerings microwaves, refrigerators for the suffering
Come on baby won't you show me what you got
I want your salvation
Ooh-oh-oh
I can't believe these people live like kings
Hidden estates and diamond rings
I'm a rat out on a mission
I'm in your front yard under suspicion
Come on baby won't you show me what you got
I want your salvation
Ooh-oh-oh"
