artist,title,album,date,lyrics,top_ranking
Simple Plan,Your Love Is a Lie,Simple Plan,2/12/2008,"That's it, that's it

I fall asleep by the telephone (Telephone)
It's two o'clock and I'm waiting up alone
Tell me where have you been? (where have you been?)
I found a note with another name (Another name)
You blow a kiss, but it just don't feel the same
'Cause I can feel that you're gone (Feel that you're gone)

I can't bite my tongue forever
While you try to play it cool
You can hide behind your stories
But don't take me for a fool

You can tell me that there's nobody else (But I feel it)
You can tell me that you're home by yourself (But I see it)
You can look into my eyes and pretend all you want
But I know, I know
Your love is just a lie (Lie, lie)
It's nothing but a lie (Lie, lie)

You look so innocent (So innocent)
But the guilt in your voice gives you away
Yeah, you know what I mean (Know what I mean)
How does it feel when you kiss when you know that I trust you
And do you think about me when he fucks you?
Could you be more obscene? (Be more obscene)

So don't try to say you're sorry
Or try to make it right
Don't waste your breath because it's too late, it's too late

You can tell me that there's nobody else (But I feel it)
You can tell me that you're home by yourself (But I see it)
You can look into my eyes and pretend all you want
But I know, I know
Your love is just a lie (Lie)
It's nothing but a lie (Lie)
You're nothing but a lie

You can tell me that there's nobody else (But I feel it)
You can tell me that you're home by yourself (But I see it)
You can look into my eyes and pretend all you want
But I know, I know
Your love is just a lie
I know you're nothing but a lie (Lie)
You're nothing but a lie (Lie)
Your love is just a lie",14
Sum 41,With Me,Underclass Hero,2/28/2008,"I don't want this moment to ever end
Where everything's nothing without you
I'd wait here forever just to, to see you smile
Cause it's true, I am nothing without you

Through it all, I've made my mistakes
I stumble and fall, but I mean these words

I want you to know, with everything I won't let this go
These words are my heart and soul
I'll hold on to this moment, you know
As I bleed my heart out to show and I won't let go

Thoughts ran unspoken, forever and now
And pieces of memories fall to the ground
I know what I didn't have, so I won't let this go
Cause it's true, I am nothing without you

All the streets, where I walked alone
With nowhere to go, have come to an end

I want you to know, with everything I won't let this go
These words are my heart and soul
I'll hold on to this moment, you know
As I bleed my heart out to show and I won't let go

In front of your eyes, it falls from the skies
When you don't know what you're looking to find
In front of your eyes, it falls from the skies
When you just never know what you will find
(What you will find
What you will find
What you will find
What you will find)

I don't want this moment to ever end
Where everything's nothing without you

I want you to know, with everything I won't let this go
These words are my heart and soul
I'll hold on to this moment, you know
As I bleed my heart out to show and I won't let go
I want you to know, with everything I won't let this go
These words are my heart and soul
I'll hold on to this moment, you know
As I bleed my heart out to show and I won't let go",7
Alkaline Trio,Help Me,Agony & Irony,4/22/2008,"Here you'll find me in between
Heaven and hell, my dear
Where nothing's what it seems
It's just as well, I fear
I'm giving you the creeps
And a farewell kiss to go
Into the unknown
Saw you standing there
Outside the music hall
You come out for some air
A certain curtain call
And everyone just stared
When you took the stage that night
Something's not right
You're up there, took the stairs to the stars all alone
You left all the lights burning but nobody's home
I believe they deceived your tuneful heart too long
And they sing along

Help me, help me, won't you?
Sing me, sing me one last song
Help me, help me, somebody help me
Save me from myself
Here I'll find you in between
Heaven and hell again
Where nothing's what it seems
It's just as well my friend
I'm giving me the creeps
And a farewell to arms, and legs, and heads and heart
You're up there, took the stairs to the stars all alone
You left all the lights burning but nobody's home
I believe they deceived your tuneful heart too long
Now they sing along

Help me, help me won't you?
Sing me, sing me one last song
Help me, help me, somebody help me
Save me from myself
Take me from this hell
You're up there, took the stairs to the stars all alone
You left all the lights burning but nobody's home
I believe they deceived your tuneful heart too long
And they sing along

Help me, help me won't you?
Sing me, sing me one last song
Help me, help me, somebody help me
Save me from myself
Take me from this hell",13
Paramore,That's What You Get,Riot!,5/5/2008,"No sir
Well, I don't wanna be the blame, not anymore
It's your turn
So take a seat, we're settling the final score
And why do we like to hurt so much?
I can't decide
You have made it harder just to go on
And why? All the possibilities
Well, I was wrong

That's what you get when you let your heart win, whoa
That's what you get when you let your heart win, whoa
I drowned out all my sense with the sound of its beating
And that's what you get when you let your heart win, whoa

I wonder
How am I supposed to feel when you're not here?
Cause I burned every bridge I ever built when you were here
I still try holding onto silly things, I never learn
Oh, why?
All the possibilities
I'm sure you've heard

That's what you get when you let your heart win, whoa
That's what you get when you let your heart win, whoa
I drowned out all my sense with the sound of its beating
And that's what you get when you let your heart win, whoa

Pain, make your way to me, to me
And I'll always be just so inviting
If I ever start to think straight
This heart will start a riot in me
Let's start, start, hey!

Why do we like to hurt so much?
Oh, why do we like to hurt so much?
That's what you get when you let your heart win, whoa

That's what you get when you let your heart win, whoa
That's what you get when you let your heart win, whoa
Now, I can't trust myself with anything but this
And that's what you get when you let your heart win, whoa",15
The Wonder Years,You're Not Salinger. Get Over It.,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,6/10/2008,"We're finding out some scummy fuck, just threw it in a 15 year old
I mean come on man, is that the life you want?
And they're tearing up these dead end blocks
Revealing all the shit we wished we forgot
In the shadow of this careless urban sprawl

My friends and I we're all fucked on the inside
(My friends and I we're all fucked on the inside)
My friends and I we're all fucked on the inside
But we don't let it run our lives

(One day) I'll cough all of this shit out of my lungs
From second hand smoke in all night restaurants
(They'll be) Up in arms over all the shit we've done
Cause we're getting out
We're fucking gone

Caustic suburban sense of humor's gotten me in trouble
More than a few times
We're singing ""Lucky"" by Little League and
Fucking up until we get this right
Just 'cause we're down, doesn't mean we've gotta stay there
This fucking town is like a ship gone under water
And we'll all drown unless we cut ties to the anchor
We'd get swallowed here

(One day) I'll cough all of this shit out of my lungs
From second hand smoke in all night restaurants
(They'll be) Up in arms over all the shit we've done
Cause we're getting out
We're fucking gone

So chin up and we'll drown a little slower hey
So chin up and we'll drown a little slower hey
So chin up and we'll drown a little slower hey
So chin up and we'll drown a little slower hey
So chin up and we'll drown a little slower hey
So chin up and we'll drown a little slower hey
So chin up and we'll drown a little slower hey
So chin up and we'll drown a little slower hey
So chin up, so chin up, drown a little slower hey
So chin up, so chin up, drown a little slower hey
So chin up, so chin up, drown a little slower hey
So chin up, so chin up

Cause I'm bad at staying calm
And I know this town's a time bomb
And we've been dragging our feet too long, too long
We've been sinking all along
And we're gone, we're gone, and we're gone

(One day) I'll cough all of this shit out of my lungs
From second hand smoke in all night restaurants
(They'll be) Up in arms over all the shit we've done
Cause we're getting out...",NA
The Offspring,Fix You,"Rise and Fall, Rage and Grace",6/17/2008,"She wakes up
Rage and grace
Pulling me closer, pushing away
And me, the sharpest thorn on your vine
Twisting and turning, we're all intertwined
Broken wing
Empty glass
Words that scream and bounce right back
She says, ""You know
We'd all like to rearrange""

I wish I could fix you
And make you how I want you
I wish I could fix you
And I wish you could fix me
I wish I could heal you
And mend where you are broken
I wish I could heal you
And I wish you could heal me
Ha la la la

A beaming sunrise buries the night
The setting sun destroys the light
Then she says, ""Baby, I've got to get going""
Cutting each other without even knowing

She sees a million stars like holes in the sky
All God's tears, for her they cry
And I am in her rain

I wish I could fix you
And make you how I want you
I wish I could fix you
And I wish you could fix me
I wish I could heal you
And mend where you are broken
I wish I could heal you
And I wish you could heal me

Broken wing
Empty glass
Words that scream and bounce right back
She says, ""You know
We'd all like to rearrange""",10
The Offspring,Half-Truism,"Rise and Fall, Rage and Grace",6/17/2008,"One is for envy
And one just for spite
The cuts in my heart
They show in your eyes
Don't make it better
The twisting knife
Turns all by itself
Move on to someone else
Your self-liberation
Will leave this behind
Beyond slings and arrows
That rain on our minds
You'll make it better
Shake it off
It never mattered anyway

If we don't make it alive
Well, it's a hell of a good day to die
All our light that shines strong
Only lasts for so long
And it's ashes to ashes again
Should we even try to pretend?
All our light that shines strong
Only lasts for so long

The banner you're waving
Is burning and red
It's blocking the sunlight
That shines overhead
You against the world
Diamonds and pearls
Voices inside you churn
Watch the city burn
Your own liberation
Will leave them behind
All the slings and arrows
That rain on your mind
Don't make it better
Break it cause
It never mattered anyway


I... won't... calm... down...
The banner you're waving
Is burning and red
You against the world
Diamonds and pearls
It never mattered, mattered, mattered
Anyway

All our light that shines strong
Only lasts for so long",10
The Offspring,Hammerhead,"Rise and Fall, Rage and Grace",6/17/2008,"I am the one
Camouflage and guns
Risk my life
To keep my people from harm
Authority vested in me
I sacrifice
With my brothers in arms

Through this doorway
What's on the other side
Never knowing
Exactly what I'll find
Locked and loaded
Voices screaming, let's go
Come on do it, here we go

I'll take a life, that others may live
Oh, that's just the way it goes
I'll shut my eyes, it hammers in my head
Where it'll end nobody knows
I'll take a life, ten others may live
Oh, that's just the way it goes
It's playing over and over in my head
Where it'll end nobody knows

Stay the course, reasonable force
I believe I serve a greater good
Smoke and dust, enemies are crushed
Nothing left, where a man once stood

Locked and loaded
Voices screaming, ""let's go""
But I'm just doing what I'm told

I'll take this life, ten others may live
Oh, that's just the way it goes
It's playing over and over in my head
Where it begins and where it'll end nobody knows
Hey go!
Bang, bang, it hammers in my head
Bang, bang, it hammers in my head
Bang, bang, it hammers in my head
In my head, in my head

Yeah, though I walk through the valley of the shadow of death
I will fear no evil for Thou art with me
Locked and loaded, gonna find my truth
Now I'm busting through, all hell breaks loose
And you can all hide behind your desks now
And you can cry, ""Teacher, come help me""
Through you all, my aim is true
My
My aim is true
My aim is true",10
The Offspring,Stuff Is Messed Up,"Rise and Fall, Rage and Grace",6/17/2008,"Now, I don't know, and it's hard to explain
But it seems like things are just kind of insane
Because the world is crying, but nobody's listening
So, please leave a message on my cell phone
I see bullets getting better, biblical weather
And that guy on TV is, like, a total asshole
Who are you wearing tonight?
Celebrity fundraiser, tight
Black ties making wrongs right
How's your social Band-Aid?

I don't know much, I don't know too much
But I know this: shit is fucked up

I guess it's all about the dream
The ends justify the means
I'm telling you, shit is fucked up
You know it's all about the dream
The ends justify the means

Now, thank God for the media for saving the day
Putting it all into perspective in a responsible way
With more celebrity news, typical bullshit views
I think we're losing this fight sponsored by Bud Light
And now, we're rocking the casbah and taking the flak
The genie's out of the bottle, and we can't put it back
All this stuff, it's overwhelming my brain
Can you see the storm coming? It's coming this way

I don't know much, I don't know too much
But I know this: shit is fucked up

I guess it's all about the dream
The ends justify the means
I'm telling you, shit is fucked up
You know it's all about the dream
The ends justify the means
Justify the means

Shopping sprees, RPGs, ecstasy, atrophy
Genocide, Pimp My Ride, politize, euphemize
Injustice everywhere, apathy, I don't care
Hurricanes, climate change, huh
Therapy, I won't tell, rehab and LOL
Worldwide calamity, TV reality
Euthanize, supersize, death squads and boob jobs
And VIP infamy, gratify instantly

I don't know much, I don't know too much
I don't know much, I don't know too much

I guess it's all about the dream
The ends justify the means
I'm telling you, shit is fucked up
You know it's all about the dream
The ends justify the means
The means, the means",10
The Offspring,Trust in You,"Rise and Fall, Rage and Grace",6/17/2008,"I am the one, your help I've refused
You're offering hand just set off the fuse
I am the rock that pushes away
I gave up tomorrow to spite today

Too proud to beg
Too stubborn to try
I'd look in your face
And spit in your eye
But I'm willing to find what's really inside
And show I am strong enough to

Trust in you
Trust in you
Trust in you
Pull me up
Quo modo, shadow to light
Quo modo' shadow to light
Quo modo' pull me up
Pull me up
Cause I am ready

I am the one who blames only you
The flame in my eyes now blackens my view
I am the one who wanders alone
Darkness inside blocks how you've shone

Who tied the other
End of my rope?
I want to move on
I want to have hope
So I'm willing to change, I'm going to try
To show I am strong enough to

Trust in you
Trust in you
Trust in you
Pull me up
Quo modo' shadow to light
Quo modo' shadow to light
Quo modo' pull me up
Pull me up
Cause I am waiting",10
The Offspring,"Kristy, Are You Doing Okay?","Rise and Fall, Rage and Grace",6/17/2008,"There's a moment in time, and it's stuck in my mind
Way back, when we were just kids
'Cause your eyes told the tale of an act of betrayal
I knew that somebody did

Oh, waves of time
Seem to wash away the scenes of our crimes
For you, this never ends

Can you stay strong? Can you go on?
Kristy, are you doing okay?
A rose that won't bloom, winter's kept you
Don't waste your whole life trying
To get back what was taken away

Though the marks on your dress had been neatly repressed
I knew that something was wrong
And I should've spoke out, and I'm so sorry now
I didn't know, 'cause we were so young

Oh, clouds of time
Seem to rain on innocence left behind
It never goes away

Can you stay strong? Can you go on?
Kristy, are you doing okay?
A rose that won't bloom, winter's kept you
Don't waste your whole life trying
To get back what was taken away

Oh, clouds of time
Seem to rain on innocence left behind
It never goes away
It never goes away

Can you stay strong? Can you go on?
Kristy, are you doing okay?
A rose that won't bloom, winter's kept you
Don't waste your whole life trying
To get back what was taken away
Don't waste your whole life trying
To get back what was taken away",10
Alkaline Trio,Calling All Skeletons,Agony & Irony,7/1/2008,"Here it is again, yet it stings like the first time
Seems it never ends, double nickels on your dime
I thought we were friends, I guess it just depends who you ask
These feelings tend to leave me with a hole in my chest
A hole in my chest

Now the time has come, I just wish I could erase
All the damage done to your name and your keepsakes
Only just begun, it's been fun, we were blind, deaf and dumb
There's a party in my closet, calling all skeletons
Calling all skeletons

Where did you go once the lights went black?
Look what's become of me
I've grown to love your disappearing acts
Do one more, pretty please

Now the time has come, I just wish I could erase
All the damage done, all this pain all this heartache
Only just begun, it's been fun, we were fucked up and numb
There's a killer on the corner and he's looking for love
Yeah, he's looking for you, my love

Where did you go once the lights went black?
Look what's become of me
I've grown to love your disappearing acts
Do one more, pretty please

And to tell you the truth I lost my faith in you
You've gotta stop sneaking off on me
And these unspoken lies appear at the worst times
You've gotta stop sneaking off on me
They're hiding just behind your eyes

Where did you go once the lights went black?
Look what's become of me
I've grown to love your disappearing acts
Do one more, pretty please

Where did you go once the lights went black?
You nearly gave us a heart attack
We thought you might have swam out to sea
You gotta stop sneaking off on me",13
Alkaline Trio,I Found Away,Agony & Irony,7/1/2008,"Stumbling through the dark with a broken heart
All alone at it once again
Seeping in like a feeling
You haven't felt since way back when
In the dead of that night, like the summer of Sam
I caught word of the commotion you caused via telegram
And got all worked up
We got all worked up
I found away
Over the fear and through the flames
I'm diving in, don't follow me
Stay right here, I'll be back for you someday
I found away
It'd be best if you just stayed
It's not safe, don't follow me
I found away, I found away
Frozen in the lights of a locomotive
Tied to the tracks again
You said you haven't felt this comatose
Since you can't remember when
Fly off the handle every time we sleep
Straight off the deep
I found away
Over the fear and through the flames
I'm diving in, don't follow me
Stay right here, I'll be back for you someday
I found away
It'd be best if you just stayed
It's not safe, don't follow me
I found away, I found away
From the top of my lungs
The truth shall be sung
Sharp and damning
Violently stabbing at secrecy
That look on your face
It's more than I can take
It's scaring
The living hell straight out of me
I found away
Over the fear and through the flames
I'm diving in, don't follow me
Stay right here, I'll be back for you someday
I found away
It'd be best if you just stayed
It's not safe, don't follow me
I found away, I found away",13
Alkaline Trio,Over and Out,Agony & Irony,7/1/2008,"""Over and out,"" she said, from a hospital bed
""For what it's worth, it doesn't hurt, don't cry""
""Over and out,"" he said, with a .45 to his head
""The war has taken everything from me, it's all I see"" so

Run for cover as fast as you can
Where fighters are lovers, enemies are friends
And pens and knives apologize for leaving you tonight
For leaving you tonight

""Over and out,"" he sighed, ""it seems I've run out of time
Please tell my wife I loved her more than life itself.""
""Over and out,"" she sang, as the telephone rang
""There's no pain, no answering no more, no.""


Run for cover and you'll find us there
To take on the anguish, make it disappear
When hand grenades and napalm flames are leaving you tonight
Let this candle burn 'til you get home
Never forget your face, never lose hope
Tonight...

Run for cover and you'll find us there (Over and out)
To take on the anger, make it disappear (Over and out)
When razor blades were softly serenading you",13
